[LOG] System::create                           :         Header version = 2.02.04. Current version = 2.02.04.
[LOG] Manager::init                            :         maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0x0.
[LOG] SystemI::init                            :         Initialize version=20204 (121702), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               :         Setting output to 'FMOD Core Audio Output'
[LOG] OutputCoreAudio::init                    :         Output running 2 channels at 48000Hz sample rate.
[LOG] OutputCoreAudio::init                    :         Maximum hardware read size: 512 samples, Software buffer size: 512 samples, Number of software buffers: 4.
[LOG] Thread::initThread                       :         Init FMOD stream thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       :         Init FMOD mixer thread. Affinity: 0x4000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: Yes, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       :         manager 0x7f7fec5be208 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       :         done
[LOG] PlaybackSystem::init                     :         
[LOG] Thread::initThread                       :         Init FMOD Studio sample load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     :         done
[LOG] Thread::initThread                       :         Init FMOD Studio bank load thread. Affinity: 0x4000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            :         done.
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4893d08
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff484e158
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff484e158
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff484ede8
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff484ede8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48bab88
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48bab88
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48a4488
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] PlaybackSystem::acquireMasterBus         :         Setting master channel group format to 6
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] Manager::readBank                        :         fileversion = 141, compatVersion = 140 (oldest = 44, newest = 141)
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48a4488
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4874af8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4874af8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c25b8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c25b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c11c8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c11c8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48c1bb8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48c1bb8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff489cba8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff489cba8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff489d598
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff489d598
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff485c5b8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff485c5b8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48966e8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48966e8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe71e3378
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe71e3378
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe71dfff8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe71dfff8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7fe71e09e8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7fe71e09e8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48970d8
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe6710de8)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fe60e96b8)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fe60e6dc8)
[LOG] SystemI::createSound                     :         filename = ../PizzaGame/Build/Desktop/Ambience.bank : mode 02010082
[LOG] SystemI::createSound                     :         FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :         setdata soundi = 0x7f7febf5dae8 : node = 0x7f7fe71afcb0
[LOG] SystemI::createSound                     :         add node to async list : head = 0x7f7ff40bab38.  list count = 184
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48970d8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4806fd8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4806fd8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4807888
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4807888
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48fac98
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48fac98
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48ea008
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48ea008
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4883758
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4883758
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4884008
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4884008
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff480e608
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff480e608
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48a1ce8
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48a1ce8
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48dab68
[LOG] SoundI::release                          :         videoplayback-2.2Traffic Sound (0x7f7fe353ef78)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fe71e7c88)
[LOG] SoundI::release                          :             videoplayback-2.2Traffic Sound (0x7f7fe71e3378)
[LOG] SystemI::createSound                     :         filename = ../PizzaGame/Build/Desktop/Ambience.bank : mode 02010082
[LOG] SystemI::createSound                     :         FMOD_NONBLOCKING specified.  Putting into queue to be opened asynchronously!
[LOG] SystemI::createSound                     :         setdata soundi = 0x7f7fe60e96b8 : node = 0x7f7fe67177b0
[LOG] SystemI::createSound                     :         add node to async list : head = 0x7f7ff40bab38.  list count = 176
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48dab68
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48db558
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48db558
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48d9b98
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff48d9b98
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff4805a68
[LOG] AsyncThread::threadFunc                  :     Finished Asynchronous operation on sound 0x7f7ff4805a68
[LOG] AsyncThread::threadFunc                  :     Starting Asynchronous operation on sound 0x7f7ff48d8da8
